'=Observacion	Vista_exterior	Temperatura	Humedad	Viento	*Jugar_tenis
3483	1	2	2	2	1
3484	2	2	1	2	1
3485	2	1	2	1	1
3486	3	2	1	2	0
3487	1	1	1	1	0
3488	1	1	1	2	0
3489	2	1	1	1	1
3490	3	2	1	1	1
3491	3	3	2	1	1
3492	3	3	2	2	0
3493	2	3	2	2	1
3494	1	2	1	1	0
3495	1	3	2	1	1
3496	3	2	2	1	1
3497	1	2	2	2	1
3498	2	2	1	2	1
3499	2	1	2	1	1
3500	3	2	1	2	0
3501	1	1	1	1	0
3502	1	1	1	2	0
3503	2	1	1	1	1
3504	3	2	1	1	1
3505	3	3	2	1	1
3506	3	3	2	2	0
3507	2	3	2	2	1
3508	1	2	1	1	0
3509	1	3	2	1	1
3510	3	2	2	1	1
3511	1	2	2	2	1
3512	2	2	1	2	1
3513	2	1	2	1	1
3514	3	2	1	2	0
3515	1	1	1	1	0
3516	1	1	1	2	0
3517	2	1	1	1	1
3518	3	2	1	1	1
3519	3	3	2	1	1
3520	3	3	2	2	0
3521	2	3	2	2	1
3522	1	2	1	1	0
3523	1	3	2	1	1
3524	3	2	2	1	1
3525	1	2	2	2	1
3526	2	2	1	2	1
3527	2	1	2	1	1
3528	3	2	1	2	0
3529	1	1	1	1	0
3530	1	1	1	2	0
3531	2	1	1	1	1
3532	3	2	1	1	1
3533	3	3	2	1	1
3534	3	3	2	2	0
3535	2	3	2	2	1
3536	1	2	1	1	0
3537	1	3	2	1	1
3538	3	2	2	1	1
3539	1	2	2	2	1
3540	2	2	1	2	1
3541	2	1	2	1	1
3542	3	2	1	2	0
3543	1	1	1	1	0
3544	1	1	1	2	0
3545	2	1	1	1	1
3546	3	2	1	1	1
3547	3	3	2	1	1
3548	3	3	2	2	0
3549	2	3	2	2	1
3550	1	2	1	1	0
3551	1	3	2	1	1
3552	3	2	2	1	1
3553	1	2	2	2	1
3554	2	2	1	2	1
3555	2	1	2	1	1
3556	3	2	1	2	0
3557	1	1	1	1	0
3558	1	1	1	2	0
3559	2	1	1	1	1
3560	3	2	1	1	1
3561	3	3	2	1	1
3562	3	3	2	2	0
3563	2	3	2	2	1
3564	1	2	1	1	0
3565	1	3	2	1	1
3566	3	2	2	1	1
3567	1	2	2	2	1
3568	2	2	1	2	1
3569	2	1	2	1	1
3570	3	2	1	2	0
3571	1	1	1	1	0
3572	1	1	1	2	0
3573	2	1	1	1	1
3574	3	2	1	1	1
3575	3	3	2	1	1
3576	3	3	2	2	0
3577	2	3	2	2	1
3578	1	2	1	1	0
3579	1	3	2	1	1
3580	3	2	2	1	1
3581	1	2	2	2	1
3582	2	2	1	2	1
3583	2	1	2	1	1
3584	3	2	1	2	0
3585	1	1	1	1	0
3586	1	1	1	2	0
3587	2	1	1	1	1
3588	3	2	1	1	1
3589	3	3	2	1	1
3590	3	3	2	2	0
3591	2	3	2	2	1
3592	1	2	1	1	0
3593	1	3	2	1	1
3594	3	2	2	1	1
3595	1	2	2	2	1
3596	2	2	1	2	1
3597	2	1	2	1	1
3598	3	2	1	2	0
3599	1	1	1	1	0
3600	1	1	1	2	0
3601	2	1	1	1	1
3602	3	2	1	1	1
3603	3	3	2	1	1
3604	3	3	2	2	0
3605	2	3	2	2	1
3606	1	2	1	1	0
3607	1	3	2	1	1
3608	3	2	2	1	1
3609	1	2	2	2	1
3610	2	2	1	2	1
3611	2	1	2	1	1
3612	3	2	1	2	0
3613	1	1	1	1	0
3614	1	1	1	2	0
3615	2	1	1	1	1
3616	3	2	1	1	1
3617	3	3	2	1	1
3618	3	3	2	2	0
3619	2	3	2	2	1
3620	1	2	1	1	0
3621	1	3	2	1	1
3622	3	2	2	1	1
3623	1	2	2	2	1
3624	2	2	1	2	1
3625	2	1	2	1	1
3626	3	2	1	2	0
3627	1	1	1	1	0
3628	1	1	1	2	0
3629	2	1	1	1	1
3630	3	2	1	1	1
3631	3	3	2	1	1
3632	3	3	2	2	0
3633	2	3	2	2	1
3634	1	2	1	1	0
3635	1	3	2	1	1
3636	3	2	2	1	1
3637	1	2	2	2	1
3638	2	2	1	2	1
3639	2	1	2	1	1
3640	3	2	1	2	0
3641	1	1	1	1	0
3642	1	1	1	2	0
3643	2	1	1	1	1
3644	3	2	1	1	1
3645	3	3	2	1	1
3646	3	3	2	2	0
3647	2	3	2	2	1
3648	1	2	1	1	0
3649	1	3	2	1	1
3650	3	2	2	1	1
3651	1	2	2	2	1
3652	2	2	1	2	1
3653	2	1	2	1	1
3654	3	2	1	2	0
3655	1	1	1	1	0
3656	1	1	1	2	0
3657	2	1	1	1	1
3658	3	2	1	1	1
3659	3	3	2	1	1
3660	3	3	2	2	0
3661	2	3	2	2	1
3662	1	2	1	1	0
3663	1	3	2	1	1
3664	3	2	2	1	1
3665	1	2	2	2	1
3666	2	2	1	2	1
3667	2	1	2	1	1
3668	3	2	1	2	0
3669	1	1	1	1	0
3670	1	1	1	2	0
3671	2	1	1	1	1
3672	3	2	1	1	1
3673	3	3	2	1	1
3674	3	3	2	2	0
3675	2	3	2	2	1
3676	1	2	1	1	0
3677	1	3	2	1	1
3678	3	2	2	1	1
3679	1	2	2	2	1
3680	2	2	1	2	1
3681	2	1	2	1	1
3682	3	2	1	2	0
3683	1	1	1	1	0
3684	1	1	1	2	0
3685	2	1	1	1	1
3686	3	2	1	1	1
3687	3	3	2	1	1
3688	3	3	2	2	0
3689	2	3	2	2	1
3690	1	2	1	1	0
3691	1	3	2	1	1
3692	3	2	2	1	1
3693	1	2	2	2	1
3694	2	2	1	2	1
3695	2	1	2	1	1
3696	3	2	1	2	0
3697	1	1	1	1	0
3698	1	1	1	2	0
3699	2	1	1	1	1
3700	3	2	1	1	1
3701	3	3	2	1	1
3702	3	3	2	2	0
3703	2	3	2	2	1
3704	1	2	1	1	0
3705	1	3	2	1	1
3706	3	2	2	1	1
3707	1	2	2	2	1
3708	2	2	1	2	1
3709	2	1	2	1	1
3710	3	2	1	2	0
3711	1	1	1	1	0
3712	1	1	1	2	0
3713	2	1	1	1	1
3714	3	2	1	1	1
3715	3	3	2	1	1
3716	3	3	2	2	0
3717	2	3	2	2	1
3718	1	2	1	1	0
3719	1	3	2	1	1
3720	3	2	2	1	1
3721	1	2	2	2	1
3722	2	2	1	2	1
3723	2	1	2	1	1
3724	3	2	1	2	0
3725	1	1	1	1	0
3726	1	1	1	2	0
3727	2	1	1	1	1
3728	3	2	1	1	1
3729	3	3	2	1	1
3730	3	3	2	2	0
3731	2	3	2	2	1
3732	1	2	1	1	0
3733	1	3	2	1	1
3734	3	2	2	1	1
3735	1	2	2	2	1
3736	2	2	1	2	1
3737	2	1	2	1	1
3738	3	2	1	2	0
3739	1	1	1	1	0
3740	1	1	1	2	0
3741	2	1	1	1	1
3742	3	2	1	1	1
3743	3	3	2	1	1
3744	3	3	2	2	0
3745	2	3	2	2	1
3746	1	2	1	1	0
3747	1	3	2	1	1
3748	3	2	2	1	1
3749	1	2	2	2	1
3750	2	2	1	2	1
3751	2	1	2	1	1
3752	3	2	1	2	0
3753	1	1	1	1	0
3754	1	1	1	2	0
3755	2	1	1	1	1
3756	3	2	1	1	1
3757	3	3	2	1	1
3758	3	3	2	2	0
3759	2	3	2	2	1
3760	1	2	1	1	0
3761	1	3	2	1	1
3762	3	2	2	1	1
3763	1	2	2	2	1
3764	2	2	1	2	1
3765	2	1	2	1	1
3766	3	2	1	2	0
3767	1	1	1	1	0
3768	1	1	1	2	0
3769	2	1	1	1	1
3770	3	2	1	1	1
3771	3	3	2	1	1
3772	3	3	2	2	0
3773	2	3	2	2	1
3774	1	2	1	1	0
3775	1	3	2	1	1
3776	3	2	2	1	1
3777	1	2	2	2	1
3778	2	2	1	2	1
3779	2	1	2	1	1
3780	3	2	1	2	0
3781	1	1	1	1	0
3782	1	1	1	2	0
3783	2	1	1	1	1
3784	3	2	1	1	1
3785	3	3	2	1	1
3786	3	3	2	2	0
3787	2	3	2	2	1
3788	1	2	1	1	0
3789	1	3	2	1	1
3790	3	2	2	1	1
3791	1	2	2	2	1
3792	2	2	1	2	1
3793	2	1	2	1	1
3794	3	2	1	2	0
3795	1	1	1	1	0
3796	1	1	1	2	0
3797	2	1	1	1	1
3798	3	2	1	1	1
3799	3	3	2	1	1
3800	3	3	2	2	0
3801	2	3	2	2	1
3802	1	2	1	1	0
3803	1	3	2	1	1
3804	3	2	2	1	1
3805	1	2	2	2	1
3806	2	2	1	2	1
3807	2	1	2	1	1
3808	3	2	1	2	0
3809	1	1	1	1	0
3810	1	1	1	2	0
3811	2	1	1	1	1
3812	3	2	1	1	1
3813	3	3	2	1	1
3814	3	3	2	2	0
3815	2	3	2	2	1
3816	1	2	1	1	0
3817	1	3	2	1	1
3818	3	2	2	1	1
3819	1	2	2	2	1
3820	2	2	1	2	1
3821	2	1	2	1	1
3822	3	2	1	2	0
3823	1	1	1	1	0
3824	1	1	1	2	0
3825	2	1	1	1	1
3826	3	2	1	1	1
3827	3	3	2	1	1
3828	3	3	2	2	0
3829	2	3	2	2	1
3830	1	2	1	1	0
3831	1	3	2	1	1
3832	3	2	2	1	1
3833	1	2	2	2	1
3834	2	2	1	2	1
3835	2	1	2	1	1
3836	3	2	1	2	0
3837	1	1	1	1	0
3838	1	1	1	2	0
3839	2	1	1	1	1
3840	3	2	1	1	1
3841	3	3	2	1	1
3842	3	3	2	2	0
3843	2	3	2	2	1
3844	1	2	1	1	0
3845	1	3	2	1	1
3846	3	2	2	1	1
3847	1	2	2	2	1
3848	2	2	1	2	1
3849	2	1	2	1	1
3850	3	2	1	2	0
3851	1	1	1	1	0
3852	1	1	1	2	0
3853	2	1	1	1	1
3854	3	2	1	1	1
3855	3	3	2	1	1
3856	3	3	2	2	0
3857	2	3	2	2	1
3858	1	2	1	1	0
3859	1	3	2	1	1
3860	3	2	2	1	1
3861	1	2	2	2	1
3862	2	2	1	2	1
3863	2	1	2	1	1
3864	3	2	1	2	0
3865	1	1	1	1	0
3866	1	1	1	2	0
3867	2	1	1	1	1
3868	3	2	1	1	1
3869	3	3	2	1	1
3870	3	3	2	2	0
3871	2	3	2	2	1
3872	1	2	1	1	0
3873	1	3	2	1	1
3874	3	2	2	1	1
3875	1	2	2	2	1
3876	2	2	1	2	1
3877	2	1	2	1	1
3878	3	2	1	2	0
3879	1	1	1	1	0
3880	1	1	1	2	0
3881	2	1	1	1	1
3882	3	2	1	1	1
3883	3	3	2	1	1
3884	3	3	2	2	0
3885	2	3	2	2	1
3886	1	2	1	1	0
3887	1	3	2	1	1
3888	3	2	2	1	1
3889	1	2	2	2	1
3890	2	2	1	2	1
3891	2	1	2	1	1
3892	3	2	1	2	0
3893	1	1	1	1	0
3894	1	1	1	2	0
3895	2	1	1	1	1
3896	3	2	1	1	1
3897	3	3	2	1	1
3898	3	3	2	2	0
3899	2	3	2	2	1
3900	1	2	1	1	0
3901	1	3	2	1	1
3902	3	2	2	1	1
3903	1	2	2	2	1
3904	2	2	1	2	1
3905	2	1	2	1	1
3906	3	2	1	2	0
3907	1	1	1	1	0
3908	1	1	1	2	0
3909	2	1	1	1	1
3910	3	2	1	1	1
3911	3	3	2	1	1
3912	3	3	2	2	0
3913	2	3	2	2	1
3914	1	2	1	1	0
3915	1	3	2	1	1
3916	3	2	2	1	1
3917	1	2	2	2	1
3918	2	2	1	2	1
3919	2	1	2	1	1
3920	3	2	1	2	0
3921	1	1	1	1	0
3922	1	1	1	2	0
3923	2	1	1	1	1
3924	3	2	1	1	1
3925	3	3	2	1	1
3926	3	3	2	2	0
3927	2	3	2	2	1
3928	1	2	1	1	0
3929	1	3	2	1	1
3930	3	2	2	1	1
3931	1	2	2	2	1
3932	2	2	1	2	1
3933	2	1	2	1	1
3934	3	2	1	2	0
3935	1	1	1	1	0
3936	1	1	1	2	0
3937	2	1	1	1	1
3938	3	2	1	1	1
3939	3	3	2	1	1
3940	3	3	2	2	0
3941	2	3	2	2	1
3942	1	2	1	1	0
3943	1	3	2	1	1
3944	3	2	2	1	1
3945	1	2	2	2	1
3946	2	2	1	2	1
3947	2	1	2	1	1
3948	3	2	1	2	0
3949	1	1	1	1	0
3950	1	1	1	2	0
3951	2	1	1	1	1
3952	3	2	1	1	1
3953	3	3	2	1	1
3954	3	3	2	2	0
3955	2	3	2	2	1
3956	1	2	1	1	0
3957	1	3	2	1	1
3958	3	2	2	1	1
3959	1	2	2	2	1
3960	2	2	1	2	1
3961	2	1	2	1	1
3962	3	2	1	2	0
3963	1	1	1	1	0
3964	1	1	1	2	0
3965	2	1	1	1	1
3966	3	2	1	1	1
3967	3	3	2	1	1
3968	3	3	2	2	0
3969	2	3	2	2	1
3970	1	2	1	1	0
3971	1	3	2	1	1
3972	3	2	2	1	1
3973	1	2	2	2	1
3974	2	2	1	2	1
3975	2	1	2	1	1
3976	3	2	1	2	0
3977	1	1	1	1	0
3978	1	1	1	2	0
3979	2	1	1	1	1
3980	3	2	1	1	1
3981	3	3	2	1	1
3982	3	3	2	2	0
3983	2	3	2	2	1
3984	1	2	1	1	0
3985	1	3	2	1	1
3986	3	2	2	1	1
3987	1	2	2	2	1
3988	2	2	1	2	1
3989	2	1	2	1	1
3990	3	2	1	2	0
3991	1	1	1	1	0
3992	1	1	1	2	0
3993	2	1	1	1	1
3994	3	2	1	1	1
3995	3	3	2	1	1
3996	3	3	2	2	0
3997	2	3	2	2	1
3998	1	2	1	1	0
3999	1	3	2	1	1
4000	3	2	2	1	1
4001	1	2	2	2	1
4002	2	2	1	2	1
4003	2	1	2	1	1
4004	3	2	1	2	0
4005	1	1	1	1	0
4006	1	1	1	2	0
4007	2	1	1	1	1
4008	3	2	1	1	1
4009	3	3	2	1	1
4010	3	3	2	2	0
4011	2	3	2	2	1
4012	1	2	1	1	0
4013	1	3	2	1	1
4014	3	2	2	1	1
4015	1	2	2	2	1
4016	2	2	1	2	1
4017	2	1	2	1	1
4018	3	2	1	2	0
4019	1	1	1	1	0
4020	1	1	1	2	0
4021	2	1	1	1	1
4022	3	2	1	1	1
4023	3	3	2	1	1
4024	3	3	2	2	0
4025	2	3	2	2	1
4026	1	2	1	1	0
4027	1	3	2	1	1
4028	3	2	2	1	1
4029	1	2	2	2	1
4030	2	2	1	2	1
4031	2	1	2	1	1
4032	3	2	1	2	0
4033	1	1	1	1	0
4034	1	1	1	2	0
4035	2	1	1	1	1
4036	3	2	1	1	1
4037	3	3	2	1	1
4038	3	3	2	2	0
4039	2	3	2	2	1
4040	1	2	1	1	0
4041	1	3	2	1	1
4042	3	2	2	1	1
4043	1	2	2	2	1
4044	2	2	1	2	1
4045	2	1	2	1	1
4046	3	2	1	2	0
4047	1	1	1	1	0
4048	1	1	1	2	0
4049	2	1	1	1	1
4050	3	2	1	1	1
4051	3	3	2	1	1
4052	3	3	2	2	0
4053	2	3	2	2	1
4054	1	2	1	1	0
4055	1	3	2	1	1
4056	3	2	2	1	1
4057	1	2	2	2	1
4058	2	2	1	2	1
4059	2	1	2	1	1
4060	3	2	1	2	0
4061	1	1	1	1	0
4062	1	1	1	2	0
4063	2	1	1	1	1
4064	3	2	1	1	1
4065	3	3	2	1	1
4066	3	3	2	2	0
4067	2	3	2	2	1
4068	1	2	1	1	0
4069	1	3	2	1	1
4070	3	2	2	1	1
4071	1	2	2	2	1
4072	2	2	1	2	1
4073	2	1	2	1	1
4074	3	2	1	2	0
4075	1	1	1	1	0
4076	1	1	1	2	0
4077	2	1	1	1	1
4078	3	2	1	1	1
4079	3	3	2	1	1
4080	3	3	2	2	0
4081	2	3	2	2	1
4082	1	2	1	1	0
4083	1	3	2	1	1
4084	3	2	2	1	1
4085	1	2	2	2	1
4086	2	2	1	2	1
4087	2	1	2	1	1
4088	3	2	1	2	0
4089	1	1	1	1	0
4090	1	1	1	2	0
4091	2	1	1	1	1
4092	3	2	1	1	1
4093	3	3	2	1	1
4094	3	3	2	2	0
4095	2	3	2	2	1
4096	1	2	1	1	0
4097	1	3	2	1	1
4098	3	2	2	1	1
4099	1	2	2	2	1
4100	2	2	1	2	1
4101	2	1	2	1	1
4102	3	2	1	2	0
4103	1	1	1	1	0
4104	1	1	1	2	0
4105	2	1	1	1	1
4106	3	2	1	1	1
4107	3	3	2	1	1
4108	3	3	2	2	0
4109	2	3	2	2	1
4110	1	2	1	1	0
4111	1	3	2	1	1
4112	3	2	2	1	1
4113	1	2	2	2	1
4114	2	2	1	2	1
4115	2	1	2	1	1
4116	3	2	1	2	0
4117	1	1	1	1	0
4118	1	1	1	2	0
4119	2	1	1	1	1
4120	3	2	1	1	1
4121	3	3	2	1	1
4122	3	3	2	2	0
4123	2	3	2	2	1
4124	1	2	1	1	0
4125	1	3	2	1	1
4126	3	2	2	1	1
4127	1	2	2	2	1
4128	2	2	1	2	1
4129	2	1	2	1	1
4130	3	2	1	2	0
4131	1	1	1	1	0
4132	1	1	1	2	0
4133	2	1	1	1	1
4134	3	2	1	1	1
4135	3	3	2	1	1
4136	3	3	2	2	0
4137	2	3	2	2	1
4138	1	2	1	1	0
4139	1	3	2	1	1
4140	3	2	2	1	1
4141	1	2	2	2	1
4142	2	2	1	2	1
4143	2	1	2	1	1
4144	3	2	1	2	0
4145	1	1	1	1	0
4146	1	1	1	2	0
4147	2	1	1	1	1
4148	3	2	1	1	1
4149	3	3	2	1	1
4150	3	3	2	2	0
4151	2	3	2	2	1
4152	1	2	1	1	0
4153	1	3	2	1	1
4154	3	2	2	1	1
4155	1	2	2	2	1
4156	2	2	1	2	1
4157	2	1	2	1	1
4158	3	2	1	2	0
4159	1	1	1	1	0
4160	1	1	1	2	0
4161	2	1	1	1	1
4162	3	2	1	1	1
4163	3	3	2	1	1
4164	3	3	2	2	0
4165	2	3	2	2	1
4166	1	2	1	1	0
4167	1	3	2	1	1
4168	3	2	2	1	1
4169	1	2	2	2	1
4170	2	2	1	2	1
4171	2	1	2	1	1
4172	3	2	1	2	0
4173	1	1	1	1	0
4174	1	1	1	2	0
4175	2	1	1	1	1
4176	3	2	1	1	1
4177	3	3	2	1	1
4178	3	3	2	2	0
4179	2	3	2	2	1
4180	1	2	1	1	0
4181	1	3	2	1	1
4182	3	2	2	1	1
4183	1	2	2	2	1
4184	2	2	1	2	1
4185	2	1	2	1	1
4186	3	2	1	2	0
4187	1	1	1	1	0
4188	1	1	1	2	0
4189	2	1	1	1	1
4190	3	2	1	1	1
4191	3	3	2	1	1
4192	3	3	2	2	0
4193	2	3	2	2	1
4194	1	2	1	1	0
4195	1	3	2	1	1
4196	3	2	2	1	1
4197	1	2	2	2	1
4198	2	2	1	2	1
4199	2	1	2	1	1
4200	3	2	1	2	0
4201	1	1	1	1	0
4202	1	1	1	2	0
4203	2	1	1	1	1
4204	3	2	1	1	1
4205	3	3	2	1	1
4206	3	3	2	2	0
4207	2	3	2	2	1
4208	1	2	1	1	0
4209	1	3	2	1	1
4210	3	2	2	1	1
4211	1	2	2	2	1
4212	2	2	1	2	1
4213	2	1	2	1	1
4214	3	2	1	2	0
4215	1	1	1	1	0
4216	1	1	1	2	0
4217	2	1	1	1	1
4218	3	2	1	1	1
4219	3	3	2	1	1
4220	3	3	2	2	0
4221	2	3	2	2	1
4222	1	2	1	1	0
4223	1	3	2	1	1
4224	3	2	2	1	1
4225	1	2	2	2	1
4226	2	2	1	2	1
4227	2	1	2	1	1
4228	3	2	1	2	0
4229	1	1	1	1	0
4230	1	1	1	2	0
4231	2	1	1	1	1
4232	3	2	1	1	1
4233	3	3	2	1	1
4234	3	3	2	2	0
4235	2	3	2	2	1
4236	1	2	1	1	0
4237	1	3	2	1	1
4238	3	2	2	1	1
4239	1	2	2	2	1
4240	2	2	1	2	1
4241	2	1	2	1	1
4242	3	2	1	2	0
4243	1	1	1	1	0
4244	1	1	1	2	0
4245	2	1	1	1	1
4246	3	2	1	1	1
4247	3	3	2	1	1
4248	3	3	2	2	0
4249	2	3	2	2	1
4250	1	2	1	1	0
4251	1	3	2	1	1
4252	3	2	2	1	1
4253	1	2	2	2	1
4254	2	2	1	2	1
4255	2	1	2	1	1
4256	3	2	1	2	0
4257	1	1	1	1	0
4258	1	1	1	2	0
4259	2	1	1	1	1
4260	3	2	1	1	1
4261	3	3	2	1	1
4262	3	3	2	2	0
4263	2	3	2	2	1
4264	1	2	1	1	0
4265	1	3	2	1	1
4266	3	2	2	1	1
4267	1	2	2	2	1
4268	2	2	1	2	1
4269	2	1	2	1	1
4270	3	2	1	2	0
4271	1	1	1	1	0
4272	1	1	1	2	0
4273	2	1	1	1	1
4274	3	2	1	1	1
4275	3	3	2	1	1
4276	3	3	2	2	0
4277	2	3	2	2	1
4278	1	2	1	1	0
4279	1	3	2	1	1
4280	3	2	2	1	1
4281	1	2	2	2	1
4282	2	2	1	2	1
4283	2	1	2	1	1
4284	3	2	1	2	0
4285	1	1	1	1	0
4286	1	1	1	2	0
4287	2	1	1	1	1
4288	3	2	1	1	1
4289	3	3	2	1	1
4290	3	3	2	2	0
4291	2	3	2	2	1
4292	1	2	1	1	0
4293	1	3	2	1	1
4294	3	2	2	1	1
4295	1	2	2	2	1
4296	2	2	1	2	1
4297	2	1	2	1	1
4298	3	2	1	2	0
4299	1	1	1	1	0
4300	1	1	1	2	0
4301	2	1	1	1	1
4302	3	2	1	1	1
4303	3	3	2	1	1
4304	3	3	2	2	0
4305	2	3	2	2	1
4306	1	2	1	1	0
4307	1	3	2	1	1
4308	3	2	2	1	1
4309	1	2	2	2	1
4310	2	2	1	2	1
4311	2	1	2	1	1
4312	3	2	1	2	0
4313	1	1	1	1	0
4314	1	1	1	2	0
4315	2	1	1	1	1
4316	3	2	1	1	1
4317	3	3	2	1	1
4318	3	3	2	2	0
4319	2	3	2	2	1
4320	1	2	1	1	0
4321	1	3	2	1	1
4322	3	2	2	1	1
4323	1	2	2	2	1
4324	2	2	1	2	1
4325	2	1	2	1	1
4326	3	2	1	2	0
4327	1	1	1	1	0
4328	1	1	1	2	0
4329	2	1	1	1	1
4330	3	2	1	1	1
4331	3	3	2	1	1
4332	3	3	2	2	0
4333	2	3	2	2	1
4334	1	2	1	1	0
4335	1	3	2	1	1
4336	3	2	2	1	1
4337	1	2	2	2	1
4338	2	2	1	2	1
4339	2	1	2	1	1
4340	3	2	1	2	0
4341	1	1	1	1	0
4342	1	1	1	2	0
4343	2	1	1	1	1
4344	3	2	1	1	1
4345	3	3	2	1	1
4346	3	3	2	2	0
4347	2	3	2	2	1
4348	1	2	1	1	0
4349	1	3	2	1	1
4350	3	2	2	1	1
4351	1	2	2	2	1
4352	2	2	1	2	1
4353	2	1	2	1	1
4354	3	2	1	2	0
4355	1	1	1	1	0
4356	1	1	1	2	0
4357	2	1	1	1	1
4358	3	2	1	1	1
4359	3	3	2	1	1
4360	3	3	2	2	0
4361	2	3	2	2	1
4362	1	2	1	1	0
4363	1	3	2	1	1
4364	3	2	2	1	1
4365	1	2	2	2	1
4366	2	2	1	2	1
4367	2	1	2	1	1
4368	3	2	1	2	0
4369	1	1	1	1	0
4370	1	1	1	2	0
4371	2	1	1	1	1
4372	3	2	1	1	1
4373	3	3	2	1	1
4374	3	3	2	2	0
4375	2	3	2	2	1
4376	1	2	1	1	0
4377	1	3	2	1	1
4378	3	2	2	1	1
4379	1	2	2	2	1
4380	2	2	1	2	1
4381	2	1	2	1	1
4382	3	2	1	2	0
4383	1	1	1	1	0
4384	1	1	1	2	0
4385	2	1	1	1	1
4386	3	2	1	1	1
4387	3	3	2	1	1
4388	3	3	2	2	0
4389	2	3	2	2	1
4390	1	2	1	1	0
4391	1	3	2	1	1
4392	3	2	2	1	1
4393	1	2	2	2	1
4394	2	2	1	2	1
4395	2	1	2	1	1
4396	3	2	1	2	0
4397	1	1	1	1	0
4398	1	1	1	2	0
4399	2	1	1	1	1
4400	3	2	1	1	1
4401	3	3	2	1	1
4402	3	3	2	2	0
4403	2	3	2	2	1
4404	1	2	1	1	0
4405	1	3	2	1	1
4406	3	2	2	1	1
4407	1	2	2	2	1
4408	2	2	1	2	1
4409	2	1	2	1	1
4410	3	2	1	2	0
4411	1	1	1	1	0
4412	1	1	1	2	0
4413	2	1	1	1	1
4414	3	2	1	1	1
4415	3	3	2	1	1
4416	3	3	2	2	0
4417	2	3	2	2	1
4418	1	2	1	1	0
4419	1	3	2	1	1
4420	3	2	2	1	1
4421	1	2	2	2	1
4422	2	2	1	2	1
4423	2	1	2	1	1
4424	3	2	1	2	0
4425	1	1	1	1	0
4426	1	1	1	2	0
4427	2	1	1	1	1
4428	3	2	1	1	1
4429	3	3	2	1	1
4430	3	3	2	2	0
4431	2	3	2	2	1
4432	1	2	1	1	0
4433	1	3	2	1	1
4434	3	2	2	1	1
4435	1	2	2	2	1
4436	2	2	1	2	1
4437	2	1	2	1	1
4438	3	2	1	2	0
4439	1	1	1	1	0
4440	1	1	1	2	0
4441	2	1	1	1	1
4442	3	2	1	1	1
4443	3	3	2	1	1
4444	3	3	2	2	0
4445	2	3	2	2	1
4446	1	2	1	1	0
4447	1	3	2	1	1
4448	3	2	2	1	1
4449	1	2	2	2	1
4450	2	2	1	2	1
4451	2	1	2	1	1
4452	3	2	1	2	0
4453	1	1	1	1	0
4454	1	1	1	2	0
4455	2	1	1	1	1
4456	3	2	1	1	1
4457	3	3	2	1	1
4458	3	3	2	2	0
4459	2	3	2	2	1
4460	1	2	1	1	0
4461	1	3	2	1	1
4462	3	2	2	1	1
4463	1	2	2	2	1
4464	2	2	1	2	1
4465	2	1	2	1	1
4466	3	2	1	2	0
4467	1	1	1	1	0
4468	1	1	1	2	0
4469	2	1	1	1	1
4470	3	2	1	1	1
4471	3	3	2	1	1
4472	3	3	2	2	0
4473	2	3	2	2	1
4474	1	2	1	1	0
4475	1	3	2	1	1
4476	3	2	2	1	1
4477	1	2	2	2	1
4478	2	2	1	2	1
4479	2	1	2	1	1
4480	3	2	1	2	0
4481	1	1	1	1	0
4482	1	1	1	2	0
4483	2	1	1	1	1
4484	3	2	1	1	1
4485	3	3	2	1	1
4486	3	3	2	2	0
4487	2	3	2	2	1
4488	1	2	1	1	0
4489	1	3	2	1	1
4490	3	2	2	1	1
4491	1	2	2	2	1
4492	2	2	1	2	1
4493	2	1	2	1	1
4494	3	2	1	2	0
4495	1	1	1	1	0
4496	1	1	1	2	0
4497	2	1	1	1	1
4498	3	2	1	1	1
4499	3	3	2	1	1
4500	3	3	2	2	0
4501	2	3	2	2	1
4502	1	2	1	1	0
4503	1	3	2	1	1
4504	3	2	2	1	1
4505	1	2	2	2	1
4506	2	2	1	2	1
4507	2	1	2	1	1
4508	3	2	1	2	0
4509	1	1	1	1	0
4510	1	1	1	2	0
4511	2	1	1	1	1
4512	3	2	1	1	1
4513	3	3	2	1	1
4514	3	3	2	2	0
4515	2	3	2	2	1
4516	1	2	1	1	0
4517	1	3	2	1	1
4518	3	2	2	1	1
4519	1	2	2	2	1
4520	2	2	1	2	1
4521	2	1	2	1	1
4522	3	2	1	2	0
4523	1	1	1	1	0
4524	1	1	1	2	0
4525	2	1	1	1	1
4526	3	2	1	1	1
4527	3	3	2	1	1
4528	3	3	2	2	0
4529	2	3	2	2	1
4530	1	2	1	1	0
4531	1	3	2	1	1
4532	3	2	2	1	1
4533	1	2	2	2	1
4534	2	2	1	2	1
4535	2	1	2	1	1
4536	3	2	1	2	0
4537	1	1	1	1	0
4538	1	1	1	2	0
4539	2	1	1	1	1
4540	3	2	1	1	1
4541	3	3	2	1	1
4542	3	3	2	2	0
4543	2	3	2	2	1
4544	1	2	1	1	0
4545	1	3	2	1	1
4546	3	2	2	1	1
4547	1	2	2	2	1
4548	2	2	1	2	1
4549	2	1	2	1	1
4550	3	2	1	2	0
4551	1	1	1	1	0
4552	1	1	1	2	0
4553	2	1	1	1	1
4554	3	2	1	1	1
4555	3	3	2	1	1
